ID: ASSR-VLG-0012 | Name: 雪女 | Faction: 妖怪村莊
ID: R-VLG-0021 | Name: 天氣晴 | Faction: 中立
ID: R-VLG-0022 | Name: 智慧的般若 | Faction: 妖怪村莊
ID: R-VLG-0023 | Name: 讀眼小僧 | Faction: 妖怪村莊
ID: R-VLG-0024 | Name: 獨眼大僧 | Faction: 妖怪村莊
ID: R-VLG-0025 | Name: 藍大鬼棒子 | Faction: 妖怪村莊
ID: R-VLG-0026 | Name: 紅大鬼棒子 | Faction: 妖怪村莊
ID: R-VLG-0027 | Name: 土蜘蛛 | Faction: 妖怪村莊
ID: R-VLG-0028 | Name: 牆壁妖怪 | Faction: 妖怪村莊
ID: R-VLG-0030 | Name: 恐懼凝視 | Faction: 妖怪村莊
ID: R-VLG-0031 | Name: 如月站長 | Faction: 妖怪村莊
ID: R-VLG-0032 | Name: 伽椰美子 | Faction: 妖怪村莊
ID: R-VLG-0035 | Name: 背背小鬼 | Faction: 妖怪村莊
ID: R-VLG-0036 | Name: 人臉魚 | Faction: 妖怪村莊
ID: R-VLG-0037 | Name: 地下怪鳥 | Faction: 妖怪村莊
ID: R-VLG-0038 | Name: 水鬼 | Faction: 妖怪村莊
ID: R-VLG-0040 | Name: 製風龜龜 | Faction: 妖怪村莊
ID: R-VLG-0041 | Name: 卡卡小巨人 | Faction: 妖怪村莊
ID: R-VLG-0042 | Name: 虎姑媽 | Faction: 妖怪村莊
ID: R-VLG-0043 | Name: 恐怖祭司 | Faction: 妖怪村莊
ID: R-VLG-0044 | Name: 毛線女孩 | Faction: 妖怪村莊
ID: R-VLG-0045 | Name: 殭屍女 | Faction: 妖怪村莊
ID: R-VLG-0046 | Name: 背後靈 | Faction: 妖怪村莊
ID: R-VLG-0048 | Name: 恐怖小丑 | Faction: 妖怪村莊
ID: R-VLG-005 | Name: 河童 | Faction: 妖怪村莊
ID: R-VLG-0050 | Name: 紅眼小僧 | Faction: 妖怪村莊
ID: R-VLG-0051 | Name: 伽椰貞美子 | Faction: 妖怪村莊
ID: R-VLG-0052 | Name: 瓶子長長 | Faction: 妖怪村莊
ID: R-VLG-0053 | Name: 掃把精 | Faction: 妖怪村莊
ID: R-VLG-0054 | Name: 事故物件 | Faction: 妖怪村莊
ID: R-VLG-0055 | Name: 魔神仔 | Faction: 妖怪村莊
ID: R-VLG-006 | Name: 長脖子的女人 | Faction: 妖怪村莊
ID: SR-CAT-0004 | Name: 喵女 | Faction: 喵喵賊
ID: SR-CAT-0032 | Name: 次元突擊喵 | Faction: 喵喵賊
ID: SR-CAT-0045 | Name: 彈弓喵 | Faction: 喵喵賊
ID: SR-VLG-0015 | Name: 十八呎大人 | Faction: 妖怪村莊
ID: SR-VLG-0017 | Name: 八岐大蛇 | Faction: 妖怪村莊
ID: SR-VLG-0019 | Name: 恐怖的井 | Faction: 妖怪村莊
ID: SR-VLG-0021 | Name: 天狗 | Faction: 妖怪村莊
ID: SR-VLG-0029 | Name: 魔貨車 | Faction: 妖怪村莊
ID: SR-VLG-0034 | Name: 紅衣女孩 | Faction: 妖怪村莊
ID: SR-VLG-0039 | Name: 無臉人 | Faction: 妖怪村莊
ID: SR-VLG-0047 | Name: 如月車票 | Faction: 妖怪村莊
ID: SR-VLG-0049 | Name: 憤怒的般若 | Faction: 妖怪村莊
ID: SSR-CAT-0024 | Name: 喵女 | Faction: 喵喵賊
ID: SSR-VLG-0010 | Name: 貞美子 | Faction: 妖怪村莊
ID: SSR-VLG-0012 | Name: 雪女 | Faction: 妖怪村莊
ID: SSR-VLG-0013 | Name: 毛線怪 | Faction: 妖怪村莊
ID: SSR-VLG-0014 | Name: 座敷童子 | Faction: 妖怪村莊
ID: SSR-VLG-0021 | Name: 地下執法者 | Faction: 中立
ID: SSR-VLG-0044 | Name: 毛線女孩 | Faction: 妖怪村莊
ID: SSR-VLG-0051 | Name: 伽椰貞美子 | Faction: 妖怪村莊
ID: SSSR-CAT-0001 | Name: 靴喵 | Faction: 喵喵賊
ID: SSSR-VLG-0002 | Name: 雨傘妖怪 | Faction: 妖怪村莊
ID: SSSR-VLG-0003 | Name: 削弱藥水 | Faction: 中立
ID: SSSR-VLG-0004 | Name: 九尾妖狐 | Faction: 妖怪村莊
ID: SSSR-VLG-0012 | Name: 雪女 | Faction: 妖怪村莊
ID: SSSR-VLG-0037 | Name: 廢墟探險家 | Faction: 中立
ID: SSSR-VLG-0038 | Name: 恐怖的房東阿姨 | Faction: 中立
ID: SSSR-VLG-0052 | Name: 潔白女神 處女座 | Faction: 中立
ID: SSSR-VLG-0067 | Name: 盾甲騎士 巨蟹座 | Faction: 中立
ID: SSSR-VLG-0068 | Name: 星靈判官 天秤座 | Faction: 中立
ID: SSSR-VLG-0069 | Name: 禁忌女巫 蛇夫座 | Faction: 中立
ID: cat-0055 | Name: 易怒喵 | Faction: 喵喵賊
