Total cards: 338
Decks keys: ['藝術品', '喵喵賊', '中立', '妖怪村莊', '中立單位']

Deck: '藝術品' (size: 19)
  - ART-0017: 尿尿小男童 (Faction: 藝術品, Race: 藝術品, Deck: 藝術品)
  - CAT_0046: 負能量喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_0047: 二連爪擊喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_0048: 經理喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_0052: 黑幫首喵 凱特琳 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_0053: 漏食球 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_011: 黑喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_014: 叮噹喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_019: 脫逃 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_020: 捕喵網 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_022: 壯壯喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_025: 壞掉的機械喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_029: 肥宅喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_039: 雙子喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - CAT_042: 魔拳喵喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - NMG-0020: 魔法反制 (Faction: 中立, Race: 中立, Deck: 中立)
  - NMG-0039: 法術解析 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-CAT-0021: 幽靈喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - R-CAT-0023: 醫療喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - R-CAT-0040: 逗喵棒 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - R-CAT-0041: 公關姐姐喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - SR-CAT-0045: 彈弓喵 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - SR-NMS-0026: 終極無效化 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-CAT-0024: 喵女 (Faction: 喵喵賊, Race: 喵喵賊, Deck: 喵喵賊)
  - SSR-NMG-0012: 山羊術 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMG-0019: 法術保護 (Faction: 中立, Race: 中立, Deck: 中立)

Deck: '中立' (size: 2)
  - NEU-0001: 中立石魔人 (Faction: 中立, Race: 中立, Deck: 中立)
  - NEU-0002: 黃金鬥士金牛座 (Faction: 中立, Race: 中立, Deck: 中立)

Deck: '妖怪村莊' (size: 48)
  - ASSR-VLG-0012: 雪女 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - NEU-0005: 魔法炸彈客 (Faction: 中立, Race: 中立, Deck: 中立)
  - NEU-0045: 好奇女巫 水瓶座 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0004: 塗毒 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0020: 魔法反制 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-VLG-0002: 雨傘妖怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0003: 嘴裂的女孩 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0009: 恐怖錄影帶 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-001: 晴天娃娃 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0010: 貞美子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0011: 武士繪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0012: 雪女 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0013: 毛線怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0014: 座敷童子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0016: 燈籠小鬼 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0018: 如月車站 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-002: 雨傘妖怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0020: 詛咒通靈 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0022: 智慧的般若 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0027: 土蜘蛛 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0028: 牆壁妖怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0030: 恐懼凝視 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0031: 如月站長 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0042: 虎姑媽 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-005: 河童 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0050: 紅眼小僧 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0051: 伽椰貞美子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0052: 瓶子長長 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0053: 掃把精 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0054: 事故物件 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-0055: 魔神仔 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - R-VLG-006: 長脖子的女人 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SR-NMS-0026: 終極無效化 (Faction: 中立, Race: 中立, Deck: 中立)
  - SR-VLG-0015: 十八呎大人 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SR-VLG-0019: 恐怖的井 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SR-VLG-0021: 天狗 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SR-VLG-0047: 如月車票 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSR-NMG-0012: 山羊術 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-VLG-0010: 貞美子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSR-VLG-0012: 雪女 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSR-VLG-0013: 毛線怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSR-VLG-0014: 座敷童子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSR-VLG-0051: 伽椰貞美子 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSSR-VLG-0002: 雨傘妖怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSSR-VLG-0003: 削弱藥水 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0012: 雪女 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - VLG_006: 長脖子的女人 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - VLG_007: 武士繪 (Faction: 妖怪村莊, Race: None, Deck: 妖怪村莊)

Deck: '中立單位' (size: 52)
  - NMS-0011: 彩虹維修員 (Faction: 中立, Race: 中立, Deck: 中立)
  - NMS-0015: 劇毒蜘蛛 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NEU-0043: 封印小兵 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0004: 塗毒 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0005: 肌肉魔法 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0006: 以小博大 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0009: 和平巨人 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0013: 盾牌人偶 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0015: 小雷擊 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0016: 復活術 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0020: 魔法反制 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0023: 法力回收壺 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMG-0040: 力場保護 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0017: 觀光阿姨 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0021: 地下執法者 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0022: 封印騎士 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0023: 法力回收壺 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0024: 破甲小兵 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0025: 魔法炸彈客 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0029: 瘋狂粉絲 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0031: 魔抗鐵拳 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0036: 驅魔人 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0037: 廢墟探險家 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0044: 退休的破甲老兵 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-NMS-0048: 路過的勇士 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-VLG-0001: 地震術 (Faction: 中立, Race: 中立, Deck: 中立)
  - R-VLG-0021: 天氣晴 (Faction: 中立, Race: 中立, Deck: 中立)
  - SR-NMS-0026: 終極無效化 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMG-0010: 前線號角 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMG-0012: 山羊術 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMG-0017: 大雷擊 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMG-0019: 法術保護 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-NMS-0014: 莉茲 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSR-VLG-0021: 地下執法者 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMG-0003 (NOT FOUND IN cards.json)
  - SSSR-NMG-0008: 起來重打 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMG-0021: 天氣晴 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMG-0022: 打斷你一下 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMS-000: 馴羊使者 牧羊座 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMS-0011: 招魂 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMS-0032: 居酒屋老闆娘 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMS-0041: 弒神刺客 天蠍座 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-NMS-0051: 熊頭幫老大 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-R-NMS-0029: 瘋狂粉絲 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0002: 雨傘妖怪 (Faction: 妖怪村莊, Race: 妖怪村莊, Deck: 妖怪村莊)
  - SSSR-VLG-0003: 削弱藥水 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0037: 廢墟探險家 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0038: 恐怖的房東阿姨 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0052: 潔白女神 處女座 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0067: 盾甲騎士 巨蟹座 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0068: 星靈判官 天秤座 (Faction: 中立, Race: 中立, Deck: 中立)
  - SSSR-VLG-0069: 禁忌女巫 蛇夫座 (Faction: 中立, Race: 中立, Deck: 中立)

Total '藝術品' cards in cards.json: 62
Total '喵喵賊' cards in cards.json: 80
Total '妖怪村莊' cards in cards.json: 87
Total '中立' cards in cards.json: 109
